iso,year,quarter,date,qGDP_growth,qGDP_growth_res,date_fe,dNL_res,dhits_res
"AGO",2014,1,2014q1,-6.081214,-9.774032,3.692818,18.87647,-7.441274
"AGO",2014,2,2014q2,1.291623,-2.375978,3.667601,-6.478552,-11.07167
"AGO",2014,3,2014q3,13.80213,9.947193,3.854937,-13.17431,-3.909316
"AGO",2014,4,2014q4,8.801087,4.974228,3.826859,-44.79368,-11.14084
"AGO",2015,1,2015q1,12.4869,9.118487,3.368411,-6.603179,4.339669
"AGO",2015,2,2015q2,3.343478,.3558812,2.987597,1.88245,16.15953
"AGO",2015,3,2015q3,1.587335,-1.737356,3.32469,6.009376,-.4403528
"AGO",2015,4,2015q4,-12.44301,-15.11471,2.671705,20.31929,-4.967928
"AGO",2016,1,2016q1,.4987541,-2.873149,3.371903,-46.2139,-5.541901
"AGO",2016,2,2016q2,-5.445619,-8.869432,3.423814,32.21563,-16.69295
"AGO",2016,3,2016q3,-7.796154,-11.00315,3.206994,3.514342,-9.550302
"AGO",2016,4,2016q4,2.371653,-1.591949,3.963602,-15.05668,-13.4441
"AGO",2017,1,2017q1,-.9040745,-4.69175,3.787675,67.4733,-18.72947
"AGO",2017,2,2017q2,-1.005034,-4.64821,3.643177,22.17628,-7.415376
"AGO",2017,3,2017q3,2.95588,-1.098338,4.054218,-1.659428,-7.999162
"AGO",2017,4,2017q4,-1.714616,-5.584893,3.870277,60.52653,-2.939337
"AGO",2018,1,2018q1,-3.149067,-7.119438,3.970371,-2.739545,1.125602
"AGO",2018,2,2018q2,-5.340078,-9.090448,3.750371,3.523412,-11.89072
"AGO",2018,3,2018q3,-2.224561,-5.771385,3.546824,4.493941,-9.195313
"AGO",2018,4,2018q4,2.469261,-.5827874,3.052048,-1.517616,-2.651451
"AGO",2019,1,2019q1,0,-2.875228,2.875228,-24.55083,-1.498549
"AGO",2019,2,2019q2,0,-3.329911,3.329911,-29.85615,9.305364
"AGO",2019,3,2019q3,-1.918282,-5.233846,3.315564,-7.006343,-1.164747
"AGO",2019,4,2019q4,-.6018072,-3.469134,2.867327,-7.106416,-5.174007
"AGO",2020,1,2020q1,-.5012542,-1.380406,.8791518,20.48941,-.7929508
"AGO",2020,2,2020q2,-9.211529,1.542751,-10.75428,23.33894,-3.367673
"ALB",2014,1,2014q1,1.834872,-1.857945,3.692818,2.640732,-8.499483
"ALB",2014,2,2014q2,.8520302,-2.815571,3.667601,-33.05167,-13.03026
"ALB",2014,3,2014q3,4.612799,.7578622,3.854937,-18.78628,.7593971
"ALB",2014,4,2014q4,-.0814839,-3.908343,3.826859,11.80098,46.02285
"ALB",2015,1,2015q1,1.658948,-1.709463,3.368411,-11.72974,7.618651
"ALB",2015,2,2015q2,1.787836,-1.19976,2.987597,1.872702,22.46731
"ALB",2015,3,2015q3,3.060588,-.2641026,3.32469,-13.34021,17.63295
"ALB",2015,4,2015q4,2.241584,-.4301211,2.671705,-31.79376,-26.67683
"ALB",2016,1,2016q1,3.643471,.271568,3.371903,9.882882,1.71517
"ALB",2016,2,2016q2,3.092523,-.3312905,3.423814,-36.31927,69.16629
"ALB",2016,3,2016q3,2.292844,-.9141498,3.206994,5.92158,-3.653797
"ALB",2016,4,2016q4,4.040565,.0769636,3.963602,10.52046,-8.769733
"ALB",2017,1,2017q1,4.080387,.2927122,3.787675,-17.48732,6.597858
"ALB",2017,2,2017q2,4.089416,.4462395,3.643177,-5.614458,-64.53156
"ALB",2017,3,2017q3,3.417913,-.6363054,4.054218,-21.23783,5.425945
"ALB",2017,4,2017q4,3.360997,-.5092795,3.870277,-26.86126,4.907482
"ALB",2018,1,2018q1,4.031661,.0612897,3.970371,-5.621336,-.4689121
"ALB",2018,2,2018q2,4.14281,.3924393,3.750371,5.208347,1.851897
"ALB",2018,3,2018q3,4.470715,.9238912,3.546824,-2.789793,9.690492
